cve_id,published_date,cvss_score,severity,os_id
CVE-2025-22325,2025-01-07 11:15:16.577,7.1,HIGH,2
CVE-2025-22326,2025-01-07 11:15:16.730,7.1,HIGH,2
CVE-2025-22327,2025-01-07 11:15:16.870,6.5,MEDIUM,2
CVE-2025-22328,2025-01-07 11:15:17.020,7.1,HIGH,2
CVE-2025-22333,2025-01-07 11:15:17.160,6.5,MEDIUM,2
CVE-2025-22336,2025-01-07 11:15:17.313,7.1,HIGH,2
CVE-2025-22339,2025-01-07 11:15:17.463,6.5,MEDIUM,2
CVE-2025-22342,2025-01-07 11:15:17.610,7.1,HIGH,2
CVE-2025-22343,2025-01-07 11:15:17.743,7.1,HIGH,2
CVE-2025-22347,2025-01-07 11:15:17.897,8.2,HIGH,2
CVE-2025-22348,2025-01-07 11:15:18.037,8.5,HIGH,2
CVE-2025-22349,2025-01-07 11:15:18.183,7.6,HIGH,2
CVE-2025-22351,2025-01-07 11:15:18.330,7.6,HIGH,2
CVE-2025-22352,2025-01-07 11:15:18.527,7.6,HIGH,2
CVE-2025-22353,2025-01-07 11:15:18.693,7.1,HIGH,2
CVE-2025-22355,2025-01-07 11:15:18.857,7.1,HIGH,2
CVE-2025-22357,2025-01-07 11:15:19.013,7.1,HIGH,2
CVE-2025-22358,2025-01-07 11:15:19.167,7.1,HIGH,2
CVE-2025-22359,2025-01-07 11:15:19.310,7.1,HIGH,2
CVE-2025-22362,2025-01-07 11:15:19.453,6.5,MEDIUM,2
CVE-2025-22364,2025-01-07 11:15:19.600,7.5,HIGH,2
CVE-2025-0294,2025-01-07 14:15:24.277,4.7,MEDIUM,2
CVE-2025-0295,2025-01-07 15:15:12.320,3.5,LOW,2
CVE-2025-0296,2025-01-07 15:15:12.530,6.3,MEDIUM,2
CVE-2025-0237,2025-01-07 16:15:38.323,5.4,MEDIUM,2
CVE-2025-0238,2025-01-07 16:15:38.470,5.3,MEDIUM,2
CVE-2025-0239,2025-01-07 16:15:38.563,4.0,MEDIUM,2
CVE-2025-0240,2025-01-07 16:15:38.663,4.0,MEDIUM,2
CVE-2025-0241,2025-01-07 16:15:38.767,7.7,HIGH,2
CVE-2025-0242,2025-01-07 16:15:38.860,6.5,MEDIUM,2
CVE-2025-0243,2025-01-07 16:15:38.973,5.1,MEDIUM,2
CVE-2025-0244,2025-01-07 16:15:39.073,5.3,MEDIUM,2
CVE-2025-0245,2025-01-07 16:15:39.167,3.3,LOW,2
CVE-2025-0246,2025-01-07 16:15:39.260,6.5,MEDIUM,1
CVE-2025-0247,2025-01-07 16:15:39.357,9.8,CRITICAL,2
CVE-2025-0297,2025-01-07 16:15:39.887,6.3,MEDIUM,2
CVE-2025-0298,2025-01-07 16:15:40.167,6.3,MEDIUM,2
CVE-2025-21622,2025-01-07 16:15:40.510,7.5,HIGH,2
CVE-2025-21623,2025-01-07 16:15:40.690,7.5,HIGH,2
CVE-2025-21624,2025-01-07 16:15:40.853,9.8,CRITICAL,2
CVE-2025-22294,2025-01-07 16:15:41.137,7.1,HIGH,2
CVE-2025-22335,2025-01-07 16:15:42.703,7.1,HIGH,2
CVE-2025-22338,2025-01-07 16:15:44.117,7.1,HIGH,2
CVE-2025-22502,2025-01-07 16:15:45.717,7.6,HIGH,2
CVE-2025-22503,2025-01-07 16:15:45.877,4.3,MEDIUM,2
CVE-2025-22507,2025-01-07 16:15:46.040,7.6,HIGH,2
CVE-2025-22511,2025-01-07 16:15:46.180,6.5,MEDIUM,2
CVE-2025-22512,2025-01-07 16:15:46.320,4.3,MEDIUM,2
CVE-2025-22515,2025-01-07 16:15:46.497,6.5,MEDIUM,2
CVE-2025-22516,2025-01-07 16:15:46.653,6.5,MEDIUM,2
CVE-2025-22517,2025-01-07 16:15:46.820,6.5,MEDIUM,2
CVE-2025-22518,2025-01-07 16:15:46.990,6.5,MEDIUM,2
CVE-2025-22519,2025-01-07 16:15:47.140,8.5,HIGH,2
CVE-2025-22520,2025-01-07 16:15:47.310,7.1,HIGH,2
CVE-2025-22522,2025-01-07 16:15:47.513,7.1,HIGH,2
CVE-2025-22524,2025-01-07 16:15:47.680,6.5,MEDIUM,2
CVE-2025-22525,2025-01-07 16:15:47.830,6.5,MEDIUM,2
CVE-2025-22528,2025-01-07 16:15:47.987,6.5,MEDIUM,2
CVE-2025-22529,2025-01-07 16:15:48.180,6.5,MEDIUM,2
CVE-2025-22530,2025-01-07 16:15:48.350,6.5,MEDIUM,2
CVE-2025-22531,2025-01-07 16:15:48.520,6.5,MEDIUM,2
CVE-2025-22532,2025-01-07 16:15:48.747,6.5,MEDIUM,2
CVE-2025-22533,2025-01-07 16:15:48.980,7.6,HIGH,2
CVE-2025-22534,2025-01-07 16:15:49.130,5.4,MEDIUM,2
CVE-2025-22536,2025-01-07 16:15:49.293,7.6,HIGH,2
CVE-2025-22538,2025-01-07 16:15:49.460,7.1,HIGH,2
CVE-2025-22541,2025-01-07 16:15:49.670,5.4,MEDIUM,2
CVE-2025-22543,2025-01-07 16:15:49.830,5.4,MEDIUM,2
CVE-2025-22544,2025-01-07 16:15:50.003,6.5,MEDIUM,2
CVE-2025-22545,2025-01-07 16:15:50.140,6.5,MEDIUM,2
CVE-2025-22546,2025-01-07 16:15:50.300,6.5,MEDIUM,2
CVE-2025-22547,2025-01-07 16:15:50.463,7.1,HIGH,2
CVE-2025-22548,2025-01-07 16:15:50.623,7.1,HIGH,2
CVE-2025-22549,2025-01-07 16:15:50.790,6.5,MEDIUM,2
CVE-2025-22550,2025-01-07 16:15:50.960,6.5,MEDIUM,2
CVE-2025-22551,2025-01-07 16:15:51.127,6.5,MEDIUM,2
CVE-2025-22552,2025-01-07 16:15:51.277,7.1,HIGH,2
CVE-2025-22554,2025-01-07 16:15:51.443,6.5,MEDIUM,2
CVE-2025-22555,2025-01-07 16:15:51.627,7.1,HIGH,2
CVE-2025-22556,2025-01-07 16:15:51.780,7.1,HIGH,2
CVE-2025-22557,2025-01-07 16:15:51.920,7.1,HIGH,2
CVE-2025-22558,2025-01-07 16:15:52.080,6.5,MEDIUM,2
CVE-2025-22559,2025-01-07 16:15:52.243,7.1,HIGH,2
CVE-2025-22560,2025-01-07 16:15:52.380,5.3,MEDIUM,2
CVE-2025-22562,2025-01-07 16:15:52.540,4.3,MEDIUM,2
CVE-2025-22563,2025-01-07 16:15:52.940,4.3,MEDIUM,2
CVE-2025-22571,2025-01-07 16:15:53.187,7.1,HIGH,2
CVE-2025-22572,2025-01-07 16:15:53.357,6.5,MEDIUM,2
CVE-2025-22573,2025-01-07 16:15:53.520,6.5,MEDIUM,2
CVE-2025-22574,2025-01-07 16:15:53.667,6.5,MEDIUM,2
CVE-2025-22577,2025-01-07 16:15:53.823,6.5,MEDIUM,2
CVE-2025-22578,2025-01-07 16:15:53.970,5.9,MEDIUM,2
CVE-2025-22579,2025-01-07 16:15:54.130,5.9,MEDIUM,2
CVE-2025-22580,2025-01-07 16:15:54.303,6.5,MEDIUM,2
CVE-2025-22581,2025-01-07 16:15:54.467,6.5,MEDIUM,2
CVE-2025-22582,2025-01-07 16:15:54.640,7.1,HIGH,2
CVE-2025-22584,2025-01-07 16:15:54.780,6.5,MEDIUM,2
CVE-2025-22585,2025-01-07 16:15:54.923,6.5,MEDIUM,2
CVE-2025-22589,2025-01-07 16:15:55.053,7.1,HIGH,2
CVE-2025-22590,2025-01-07 16:15:55.200,7.1,HIGH,2
CVE-2025-22591,2025-01-07 16:15:55.337,4.3,MEDIUM,2
CVE-2025-22592,2025-01-07 16:15:55.470,7.5,HIGH,2
CVE-2025-22593,2025-01-07 16:15:55.627,7.1,HIGH,2
CVE-2025-0299,2025-01-07 17:15:31.903,6.3,MEDIUM,2
CVE-2025-0300,2025-01-07 17:15:32.090,6.3,MEDIUM,2
CVE-2025-22296,2025-01-07 17:15:32.520,6.5,MEDIUM,2
CVE-2025-22306,2025-01-07 17:15:32.663,5.3,MEDIUM,2
CVE-2025-22319,2025-01-07 17:15:32.810,4.3,MEDIUM,2
CVE-2025-22334,2025-01-07 17:15:32.953,6.5,MEDIUM,2
CVE-2025-22350,2025-01-07 17:15:33.093,7.6,HIGH,2
CVE-2025-22354,2025-01-07 17:15:33.230,6.5,MEDIUM,2
CVE-2025-22363,2025-01-07 17:15:33.377,5.3,MEDIUM,2
CVE-2025-22365,2025-01-07 17:15:33.510,6.5,MEDIUM,2
CVE-2025-22500,2025-01-07 17:15:33.657,6.5,MEDIUM,2
CVE-2025-22621,2025-01-07 17:15:35.710,6.4,MEDIUM,2
CVE-2025-0301,2025-01-07 18:15:21.460,3.5,LOW,2
CVE-2025-0218,2025-01-07 20:15:30.710,5.5,MEDIUM,2
CVE-2025-22132,2025-01-07 22:15:31.590,8.3,HIGH,2
CVE-2025-22133,2025-01-07 22:15:31.740,9.9,CRITICAL,2
CVE-2025-21603,2025-01-08 04:15:08.407,4.8,MEDIUM,2
